Iter=454, currentCost=178025, Hard Conflicts: 17, Soft Conflicts: 8042, Best Cost: 178025, Time: 0.68s
Iter=455, currentCost=178015, Hard Conflicts: 17, Soft Conflicts: 8032, Best Cost: 178015, Time: 0.68s
Iter=456, currentCost=177564, Hard Conflicts: 17, Soft Conflicts: 7581, Best Cost: 177564, Time: 0.70s
Iter=459, currentCost=177228, Hard Conflicts: 17, Soft Conflicts: 7245, Best Cost: 177228, Time: 0.70s
Iter=464, currentCost=117300, Hard Conflicts: 11, Soft Conflicts: 7311, Best Cost: 117300, Time: 0.71s
Iter=469, currentCost=117278, Hard Conflicts: 11, Soft Conflicts: 7289, Best Cost: 117278, Time: 0.71s
Iter=477, currentCost=117242, Hard Conflicts: 11, Soft Conflicts: 7253, Best Cost: 117242, Time: 0.72s
Iter=483, currentCost=117134, Hard Conflicts: 11, Soft Conflicts: 7145, Best Cost: 117134, Time: 0.73s
Iter=526, currentCost=117020, Hard Conflicts: 11, Soft Conflicts: 7031, Best Cost: 117020, Time: 0.80s
Iter=530, currentCost=116932, Hard Conflicts: 11, Soft Conflicts: 6943, Best Cost: 116932, Time: 0.81s
Iter=532, currentCost=116884, Hard Conflicts: 11, Soft Conflicts: 6895, Best Cost: 116884, Time: 0.81s
Iter=552, currentCost=116670, Hard Conflicts: 11, Soft Conflicts: 6681, Best Cost: 116670, Time: 0.84s
Iter=553, currentCost=116575, Hard Conflicts: 11, Soft Conflicts: 6586, Best Cost: 116575, Time: 0.84s
Iter=555, currentCost=116495, Hard Conflicts: 11, Soft Conflicts: 6506, Best Cost: 116495, Time: 0.84s
Iter=561, currentCost=116184, Hard Conflicts: 11, Soft Conflicts: 6195, Best Cost: 116184, Time: 0.85s
Iter=581, currentCost=116178, Hard Conflicts: 11, Soft Conflicts: 6189, Best Cost: 116178, Time: 0.90s
Iter=582, currentCost=116123, Hard Conflicts: 11, Soft Conflicts: 6134, Best Cost: 116123, Time: 0.90s
Iter=590, currentCost=116063, Hard Conflicts: 11, Soft Conflicts: 6074, Best Cost: 116063, Time: 0.91s
Iter=596, currentCost=115909, Hard Conflicts: 11, Soft Conflicts: 5920, Best Cost: 115909, Time: 0.92s
Iter=611, currentCost=115843, Hard Conflicts: 11, Soft Conflicts: 5854, Best Cost: 115843, Time: 0.94s
Iter=644, currentCost=115763, Hard Conflicts: 11, Soft Conflicts: 5774, Best Cost: 115763, Time: 1.00s
Iter=682, currentCost=115755, Hard Conflicts: 11, Soft Conflicts: 5766, Best Cost: 115755, Time: 1.05s
Iter=698, currentCost=115743, Hard Conflicts: 11, Soft Conflicts: 5754, Best Cost: 115743, Time: 1.08s
Iter=716, currentCost=115623, Hard Conflicts: 11, Soft Conflicts: 5634, Best Cost: 115623, Time: 1.10s
Iter=810, currentCost=115527, Hard Conflicts: 11, Soft Conflicts: 5538, Best Cost: 115527, Time: 1.24s
Iter=830, currentCost=115497, Hard Conflicts: 11, Soft Conflicts: 5508, Best Cost: 115497, Time: 1.28s
Iter=887, currentCost=115467, Hard Conflicts: 11, Soft Conflicts: 5478, Best Cost: 115467, Time: 1.38s
Iter=959, currentCost=115443, Hard Conflicts: 11, Soft Conflicts: 5454, Best Cost: 115443, Time: 1.49s
Iter=983, currentCost=115407, Hard Conflicts: 11, Soft Conflicts: 5418, Best Cost: 115407, Time: 1.52s
Iter=1032, currentCost=115359, Hard Conflicts: 11, Soft Conflicts: 5370, Best Cost: 115359, Time: 1.60s
Iter=1047, currentCost=115319, Hard Conflicts: 11, Soft Conflicts: 5330, Best Cost: 115319, Time: 1.62s
Iter=1052, currentCost=115309, Hard Conflicts: 11, Soft Conflicts: 5320, Best Cost: 115309, Time: 1.63s
Iter=1110, currentCost=115201, Hard Conflicts: 11, Soft Conflicts: 5212, Best Cost: 115201, Time: 1.72s
Iter=1126, currentCost=115057, Hard Conflicts: 11, Soft Conflicts: 5068, Best Cost: 115057, Time: 1.75s
Iter=1131, currentCost=114958, Hard Conflicts: 11, Soft Conflicts: 4969, Best Cost: 114958, Time: 1.76s
Iter=1132, currentCost=114936, Hard Conflicts: 11, Soft Conflicts: 4947, Best Cost: 114936, Time: 1.76s
Iter=1199, currentCost=114904, Hard Conflicts: 11, Soft Conflicts: 4915, Best Cost: 114904, Time: 1.87s
Iter=1225, currentCost=114856, Hard Conflicts: 11, Soft Conflicts: 4867, Best Cost: 114856, Time: 1.90s
Iter=1282, currentCost=114844, Hard Conflicts: 11, Soft Conflicts: 4855, Best Cost: 114844, Time: 1.98s
Iter=1322, currentCost=114838, Hard Conflicts: 11, Soft Conflicts: 4849, Best Cost: 114838, Time: 2.03s
Iter=1328, currentCost=114727, Hard Conflicts: 11, Soft Conflicts: 4738, Best Cost: 114727, Time: 2.06s
